epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.9999955569086596;3.0000136830313133;6.0;20.000104838572447;200.0012760986574;train
1;2-methylbutane;72.094;2.0003534963428975;3.0009972862005236;6.0;20.01480528950691;199.9141182601452;train
1;2-methylpentane;86.11;2.0012801682949064;3.001246889948845;6.0;20.005325529575344;199.89925926923752;train
1;2,2,3-trimethylbutane;100.125;1.9966002340316773;3.000615510582924;6.0;19.999673338606954;199.98116783946753;train
1;heptane;100.125;2.001813913345337;3.001389050126076;6.0;20.002974755465985;199.91380888223648;train
1;3,4-dimethylhexane;114.141;2.0012749925851825;2.9979885637760164;6.0;20.019042855501176;199.76583156585696;train
1;3-methyl-3-ethylpentane;114.141;2.000219833225012;3.0003487473726276;6.0;19.9993451795727;199.84982670545577;train
1;2,2,4-trimethylpentane;114.141;2.0013724477291106;3.0028926153182987;6.0;20.020319442749024;199.80104833841324;train
1;2,4,4-trimethylhexane;128.157;2.000773096680641;3.0015243114233017;6.0;20.024143221378328;199.8990684866905;train
1;2,3,3,4-tetramethylpentane;128.157;1.996807201385498;3.002175358772278;6.0;20.01808901548386;200.00239961370826;train
1;decane;142.172;1.9998971442207694;3.0034080185890195;6.0;19.986305401325225;199.8377955198288;train
1;2-methyldecane;156.188;2.0007069199085237;3.004756046295166;6.0;19.983090310096742;199.80511091947557;train
1;dodecane;170.203;2.000307537943125;3.006372317314148;6.0;20.000844436362385;199.9618465721607;train
1;3-methyltridecane;198.235;2.0007211142778396;3.006267142772675;6.0;19.992878355383873;199.8989077448845;train
1;hexadecane;226.266;1.999506631284952;3.0056575870513917;6.0;19.981364154815676;199.83659089803695;train
1;eicosane;282.329;2.0016213830709457;3.0042228846549985;6.0;19.980362756252287;199.82086348533633;train
1;propane;44.063;1.999058477461338;3.0000328110232948;6.0;20.013502330780028;199.88076516389847;train
1;pentane;72.094;2.0015474585294726;2.9998923528417945;6.0;19.99068513154984;199.92863619923594;train
1;2,3-dimethylbutane;86.11;1.998904103398323;3.000291222691536;6.0;20.004922919273376;199.99500484243035;train
1;3-methylhexane;100.125;2.0002905540764333;2.9981313623189925;6.0;20.01905017375946;199.73998980522157;train
1;2,5-dimethylhexane;114.141;2.003548167705536;2.9975542340278625;6.0;20.018986628055572;199.98879006803034;train
1;2,2,3-trimethylpentane;114.141;2.0009606580138204;2.9994799169301984;6.0;20.020800919532775;200.0398741453886;train
1;2,3,3-trimethylpentane;114.141;1.9997370186746122;3.000096915833652;6.0;20.004947738349436;199.86682114601135;train
1;4-methylheptane;114.141;2.001977126002312;3.000559992074966;6.0;20.013354978561402;199.7479311466217;train
1;3,3-diethylpentane;128.157;1.9999325166121125;3.0012878563404084;6.0;19.99480018854141;199.94754856228826;train
1;2,3-dimethylheptane;128.157;2.0004529342651365;2.9987532889842985;6.0;19.993156957030294;199.83805605173112;train
1;2,7-dimethyloctane;142.172;2.0023229582309723;2.9992402082681657;6.0;20.008083574771884;199.7580569267273;train
1;3-methylundecane;170.203;1.999638181567192;3.0056758623123168;6.0;19.983836195468903;199.79133932590486;train
1;tridecane;184.219;1.999779795795679;3.0060833377838136;6.0;19.990213581919672;199.91082511544226;train
1;tetradecane;198.235;2.001002935647964;3.0051291837692258;6.0;19.977275273799897;199.89523701667787;train
1;heptadecane;240.282;1.9999545647762715;3.006077013015747;6.0;19.97976194143295;199.7603441476822;train
1;heptacosane;380.438;2.0012375358343126;3.00321005654335;6.0;19.976094241142274;199.92869269847867;train
1;n-butane;58.078;2.0005526722073554;3.000438409924507;6.0;20.01543177127838;199.79601542949678;train
1;3-methylpentane;86.11;2.0013725806474687;3.0006745304465294;6.0;20.010402843952182;199.86709003448487;train
1;3-ethylpentane;100.125;2.0024996490478513;2.999291483283043;6.0;20.00842460989952;199.98812955990434;train
1;3,3-dimethylpentane;100.125;1.9991756210327147;3.0008390827178957;6.0;20.005494801402094;199.81906391382216;train
