epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.0018427226543425;3.0048755288124083;6.0;20.014235005378723;200.22926187515262;train
1;2,2-dimethylpropane;72.094;2.007600954532623;3.0099375467300415;6.0;20.05022090911865;200.78463444709777;train
1;2,2-dimethylbutane;86.11;2.0097426671981813;3.0110434131622315;6.0;20.069868321418763;201.12908306121824;train
1;2,3-dimethylpentane;100.125;2.0125806264877317;3.0127800493240358;6.0;20.095224809646606;201.04767608642575;train
1;2,4-dimethylpentane;100.125;2.0129111175537107;3.011828634262085;6.0;20.09751218795777;201.03518304824829;train
1;3-methylheptane;114.141;2.0139333820343017;3.0131166372299196;6.0;20.100352163314817;201.12228059768677;train
1;2-methyl-3-ethyl-pentane;114.141;2.0126040105819705;3.0123987350463866;6.0;20.105229463577274;201.21813726425168;train
1;2,4-dimethylhexane;114.141;2.0136986722946166;3.0119012784957886;6.0;20.100202293395995;201.07541246414183;train
1;2,2,3,4-tetramethylpentane;128.157;2.0131139516830445;3.0100475339889528;6.0;20.0720680475235;201.0743944168091;train
1;2,2,5-trimethylhexane;128.157;2.0127256765365598;3.0118823623657227;6.0;20.10423397064209;201.11705532073975;train
1;2,6-dimethyloctane;142.172;2.013151267051697;3.013250415802002;6.0;20.12123022079468;201.03105154037476;train
1;2,3-dimethylnonane;156.188;2.013220519065857;3.0129003047943117;6.0;20.108380737304685;201.13462829589844;train
1;3-methyldodecane;184.219;2.0162721176147462;3.016268384933472;6.0;20.132192096710206;201.40485935211183;train
1;2,3-dimethyldodecane;198.235;2.0157987279891967;3.0156846799850463;6.0;20.122620601654052;201.3284728050232;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0160180740356446;3.0145383005142214;6.0;20.09647205352783;201.05154533386235;train
1;tetracosane;338.391;2.012853003501892;3.0143537750244143;6.0;20.104544591903686;201.2391318321228;train
1;propane;44.063;2.0058868684768676;3.0068104386329653;6.0;20.035840449333193;200.45363092422485;train
1;pentane;72.094;2.008369346618652;3.0105532131195067;6.0;20.05447605609894;200.84995040893557;train
1;2,3-dimethylbutane;86.11;2.0097136278152465;3.010343865394592;6.0;20.08518123626709;200.97753057479858;train
1;3-methylhexane;100.125;2.0135529375076295;3.0137066469192506;6.0;20.099140501022337;201.04966936111452;train
1;2,5-dimethylhexane;114.141;2.012812476158142;3.0122253789901734;6.0;20.11550521850586;201.0402446746826;train
1;2,2,3-trimethylpentane;114.141;2.0111102800369265;3.012228282928467;6.0;20.076987023353574;201.05764427185056;train
1;2,3,3-trimethylpentane;114.141;2.0118520288467407;3.0123048343658447;6.0;20.077477707862855;201.0581426620483;train
1;4-methylheptane;114.141;2.013856556892395;3.0127621479034423;6.0;20.093003883361817;201.13094272613523;train
1;3,3-diethylpentane;128.157;2.0108879022598267;3.011942617416382;6.0;20.071357340812686;201.07311038970948;train
