epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.999588729649782;3.000886565387249;6.0;20.035359172821046;200.14354422092438;train
1;2,2-dimethylpropane;72.094;2.0052390050888063;3.008260928153992;6.0;20.057351498603822;200.41593203544616;train
1;2,2-dimethylbutane;86.11;2.0055460901260376;3.0094061365127565;6.0;20.054428610801697;200.51900825500488;train
1;2,3-dimethylpentane;100.125;2.005340301990509;3.009846004486084;6.0;20.06783275127411;200.46843380928036;train
1;2,4-dimethylpentane;100.125;2.0046827630996704;3.01059837436676;6.0;20.064913649559024;200.51048092842106;train
1;3-methylheptane;114.141;2.005279158592224;3.0081743097305296;6.0;20.034579274654387;200.75846252441406;train
1;2-methyl-3-ethyl-pentane;114.141;2.0068439464569092;3.0090544157028196;6.0;20.065397071838376;200.51243057250977;train
1;2,4-dimethylhexane;114.141;2.0052392301559445;3.0102504844665527;6.0;20.064304862022404;200.58198690414432;train
1;2,2,3,4-tetramethylpentane;128.157;2.006969109535217;3.0078962259292603;6.0;20.053758420944217;200.59450912475586;train
1;2,2,5-trimethylhexane;128.157;2.0062520647048947;3.0086234912872314;6.0;20.070021662712097;200.52523016929626;train
1;2,6-dimethyloctane;142.172;2.0067542943954466;3.009769386291504;6.0;20.047145495414735;200.6455985546112;train
1;2,3-dimethylnonane;156.188;2.0066406064033506;3.0076455659866332;6.0;20.063883357048038;200.63966112136842;train
1;3-methyldodecane;184.219;2.0054323210716247;3.008457398414612;6.0;20.04340015411377;200.80656013488766;train
1;2,3-dimethyldodecane;198.235;2.0068916721343992;3.006339084148407;6.0;20.061932210922244;200.78936491012573;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0085476617813107;3.006623935699463;6.0;20.046719584465027;200.5527059078217;train
1;tetracosane;338.391;2.005750801563263;3.008887610435486;6.0;20.048391523361207;200.6788992881775;train
1;propane;44.063;2.00014244453609;3.0038597497940063;6.0;20.042294654846195;200.26039295196534;train
1;pentane;72.094;2.0044995951652527;3.0062954168319704;6.0;20.0460480260849;200.30051794052125;train
1;2,3-dimethylbutane;86.11;2.0049915099143982;3.0081389560699465;6.0;20.06293336868286;200.44591212272644;train
1;3-methylhexane;100.125;2.005493595123291;3.0089018077850342;6.0;20.04743218421936;200.65018644332886;train
1;2,5-dimethylhexane;114.141;2.0063873023986813;3.0091239223480226;6.0;20.066229815483094;200.49491529464723;train
1;2,2,3-trimethylpentane;114.141;2.006206901550293;3.008905932426453;6.0;20.058062262535095;200.597136259079;train
1;2,3,3-trimethylpentane;114.141;2.0071657013893125;3.008579917907715;6.0;20.05955379009247;200.53454308509825;train
1;4-methylheptane;114.141;2.005347221851349;3.0073985714912412;6.0;20.049675064086916;200.7674960613251;train
