epoch;name;Mw;m;σ;λ_a;λ_r;ϵ;split
1;ethane;30.047;2.102050308227539;3.1096004486083983;6.0;18.886734161376953;205.98355865478516;train
1;2,2-dimethylpropane;72.094;2.302878448486328;3.3233365173339844;6.0;16.924010009765624;215.820475769043;train
1;2,2-dimethylbutane;86.11;2.356396820068359;3.3806573486328126;6.0;16.414306640625;218.3777130126953;train
1;2,3-dimethylpentane;100.125;2.3745628662109377;3.399633270263672;6.0;16.245975036621093;219.2155487060547;train
1;2,4-dimethylpentane;100.125;2.35009326171875;3.3735571899414065;6.0;16.47343963623047;218.07726287841797;train
1;3-methylheptane;114.141;2.384727294921875;3.410955047607422;6.0;16.154644775390626;219.66390075683594;train
1;2-methyl-3-ethyl-pentane;114.141;2.393214141845703;3.4194689331054686;6.0;16.069337463378904;220.0924041748047;train
1;2,4-dimethylhexane;114.141;2.3890350341796873;3.4155391540527344;6.0;16.10721923828125;219.89739074707032;train
1;2,2,3,4-tetramethylpentane;128.157;2.444856994628906;3.475345245361328;6.0;15.595028381347657;222.47525329589843;train
1;2,2,5-trimethylhexane;128.157;2.42505517578125;3.4538647766113284;6.0;15.776289672851561;221.58492431640627;train
1;2,6-dimethyloctane;142.172;2.4288609313964846;3.458243865966797;6.0;15.744655151367187;221.71962127685546;train
1;2,3-dimethylnonane;156.188;2.460881622314453;3.4922999572753906;6.0;15.447104187011718;223.17746429443358;train
1;3-methyldodecane;184.219;2.4695164794921878;3.5020620727539065;6.0;15.36407928466797;223.61020050048825;train
1;2,3-dimethyldodecane;198.235;2.508175811767578;3.5429539794921876;6.0;15.011769409179687;225.3511215209961;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.541627380371094;3.578846252441406;6.0;14.702178344726562;226.86477966308595;train
1;tetracosane;338.391;2.519908447265625;3.556059814453125;6.0;14.906002807617188;225.85971069335935;train
1;propane;44.063;2.169033447265625;3.1804100799560544;6.0;18.22034683227539;209.3202796936035;train
1;pentane;72.094;2.252210968017578;3.268866241455078;6.0;17.41103759765625;213.38874816894534;train
1;2,3-dimethylbutane;86.11;2.333312591552734;3.355627746582031;6.0;16.635277404785157;217.2702484130859;train
1;3-methylhexane;100.125;2.356402252197266;3.3804353637695312;6.0;16.41592010498047;218.37647399902346;train
1;2,5-dimethylhexane;114.141;2.376334197998047;3.4015643615722655;6.0;16.230152893066403;219.2933120727539;train
1;2,2,3-trimethylpentane;114.141;2.4326257934570314;3.4622695617675783;6.0;15.70801025390625;221.8844696044922;train
1;2,3,3-trimethylpentane;114.141;2.4395667724609376;3.4697701721191407;6.0;15.639464111328126;222.24772338867186;train
1;4-methylheptane;114.141;2.3789905700683596;3.404547821044922;6.0;16.204477539062502;219.40890197753907;train
1;3,3-diethylpentane;128.157;2.4186604919433594;3.4475459899902345;6.0;15.828287963867187;221.33760223388668;train
1;2,3-dimethylheptane;128.157;2.4239447326660155;3.452723663330078;6.0;15.788327026367188;221.51314697265624;train
1;2,7-dimethyloctane;142.172;2.417039520263672;3.4457015686035155;6.0;15.854487304687499;221.17490539550778;train
1;3-methylundecane;170.203;2.4564306030273437;3.4877919006347655;6.0;15.487789001464844;223.00316467285154;train
1;tridecane;184.219;2.422580047607422;3.4516771240234374;6.0;15.801604919433593;221.44357604980468;train
1;tetradecane;198.235;2.434752410888672;3.4647169494628907;6.0;15.688877563476563;221.9815414428711;train
1;heptadecane;240.282;2.465025970458984;3.4974277038574217;6.0;15.40711181640625;223.39637451171876;train
1;heptacosane;380.438;2.5349091796875;3.5723014526367187;6.0;14.766376342773437;226.53424987792968;train
1;n-butane;58.078;2.2108544311523435;3.225237701416016;6.0;17.807611846923827;211.3967155456543;train
1;3-methylpentane;86.11;2.324343963623047;3.346064178466797;6.0;16.71818878173828;216.85076904296875;train
1;3-ethylpentane;100.125;2.3330030822753907;3.355228515625;6.0;16.63264862060547;217.2885314941406;train
1;3,3-dimethylpentane;100.125;2.3929227294921875;3.4196995544433593;6.0;16.06874755859375;220.1398681640625;train
1;2-methylheptane;114.141;2.3757278747558592;3.401104949951172;6.0;16.23881744384766;219.2409408569336;train
1;octane;114.141;2.3370772399902346;3.360206878662109;6.0;16.60089569091797;217.44404296874998;train
1;3-ethylhexane;114.141;2.3722564392089844;3.397431182861328;6.0;16.26527374267578;219.130810546875;train
1;2,3-dimethylhexane;114.141;2.4021736755371093;3.4295526733398436;6.0;15.986359252929688;220.49706726074217;train
1;2-methyloctane;128.157;2.3966441650390626;3.42339697265625;6.0;16.044583740234376;220.2206970214844;train
1;2,2,3,3-tetramethylpentane;128.157;2.4713670959472656;3.5042944641113283;6.0;15.34598388671875;223.7121063232422;train
1;3-methyldecane;156.188;2.43893701171875;3.4691637268066406;6.0;15.6504052734375;222.18066864013673;train
1;2,3-dimethyldecane;170.203;2.4791353454589844;3.511686981201172;6.0;15.2808056640625;224.0172332763672;train
1;2-methyldodecane;184.219;2.464767883300781;3.4964163818359375;6.0;15.41224334716797;223.36706085205077;train
1;2-methyltridecane;198.235;2.4771278076171876;3.5096466064453127;6.0;15.296336364746095;223.94892272949218;train
1;octadecane;254.297;2.4760003662109376;3.508961029052734;6.0;15.307933959960938;223.8791915893555;train
1;octacosane;394.454;2.5380782470703123;3.5757365112304687;6.0;14.734541625976563;226.68890686035158;train
1;2-methylpropane;58.078;2.228750335693359;3.2438108825683596;6.0;17.63598907470703;212.24492263793948;train
1;hexane;86.11;2.2834381713867185;3.302631774902344;6.0;17.108576049804686;214.92010498046875;train
1;2-methylhexane;100.125;2.3513533020019532;3.3747240295410155;6.0;16.46567443847656;218.13455352783203;train
1;2,2-dimethylpentane;100.125;2.379457702636719;3.4052222900390623;6.0;16.19848846435547;219.45884399414064;train
1;3,3-dimethylhexane;114.141;2.4183028869628904;3.44701904296875;6.0;15.8358837890625;221.28033447265625;train
1;2,3,4-trimethyl pentane;114.141;2.3968907775878905;3.423663360595703;6.0;16.036460571289062;220.2402359008789;train
1;2,2-dimethylhexane;114.141;2.4035305786132812;3.4310953369140624;6.0;15.97346405029297;220.59632415771483;train
