epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.8381559295654297;3.3243613281249997;6.0;16.689165344238283;211.99960937500003;train
1;2,2-dimethylpropane;72.094;1.9409963493347169;3.744373962402344;6.0;13.909295043945313;228.21273803710938;train
1;2,2-dimethylbutane;86.11;2.1504167785644532;3.8658228149414064;6.0;13.669257202148437;236.45536193847656;train
1;2,3-dimethylpentane;100.125;2.473919464111328;3.9358211059570314;6.0;13.859619140625;244.64249572753909;train
1;2,4-dimethylpentane;100.125;2.6046458129882812;3.907647277832031;6.0;14.18913818359375;244.9158660888672;train
1;3-methylheptane;114.141;3.0612630615234373;3.92961376953125;6.0;14.679517822265623;250.44372558593747;train
1;2-methyl-3-ethyl-pentane;114.141;2.722796203613281;3.980649169921875;6.0;14.05705383300781;250.6009765625;train
1;2,4-dimethylhexane;114.141;2.883627136230469;3.9491636352539063;6.0;14.391588134765625;250.36729736328124;train
1;2,2,3,4-tetramethylpentane;128.157;2.53725537109375;4.059248413085937;6.0;13.4478857421875;252.39230346679688;train
1;2,2,5-trimethylhexane;128.157;3.079094970703125;4.002091674804688;6.0;14.454485473632811;255.19859619140624;train
1;2,6-dimethyloctane;142.172;3.5598726806640624;3.9622349853515626;6.0;14.96483154296875;255.4469970703125;train
1;2,3-dimethylnonane;156.188;3.474775146484375;4.035395874023438;6.0;14.69154296875;259.83275756835934;train
1;3-methyldodecane;184.219;4.2597639160156255;3.9978768920898435;6.0;15.106986389160157;261.0541564941406;train
1;2,3-dimethyldodecane;198.235;4.44029150390625;4.040851318359375;6.0;15.059372253417969;264.66845703125;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;4.534802978515625;4.075976806640625;6.0;15.048220825195314;267.21827392578126;train
1;tetracosane;338.391;9.392121582031251;3.7591688842773436;6.0;17.65135986328125;255.89395751953123;train
1;propane;44.063;1.8305157470703124;3.4922125549316405;6.0;15.320544738769533;219.12761383056642;train
1;pentane;72.094;2.3707068786621095;3.7676060791015624;6.0;14.506222534179688;234.46444091796877;train
1;2,3-dimethylbutane;86.11;2.2316741485595704;3.8579374389648438;6.0;13.842276000976561;237.2382019042969;train
1;3-methylhexane;100.125;2.718605712890625;3.9107901000976564;6.0;14.337839965820312;246.4622375488281;train
1;2,5-dimethylhexane;114.141;3.0284843749999997;3.9190280151367185;6.0;14.693253173828126;249.58624572753908;train
1;2,2,3-trimethylpentane;114.141;2.4231676940917968;4.01156298828125;6.0;13.459364013671875;248.12093200683591;train
1;2,3,3-trimethylpentane;114.141;2.3678834228515626;4.012646179199219;6.0;13.361964111328124;247.42184143066405;train
