epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.5702818603515625;3.4611579895019533;6.0;14.882106323242187;196.41938705444338;train
1;2,2-dimethylpropane;72.094;2.1913897857666016;3.8486627197265624;6.0;14.313763427734374;225.26238555908202;train
1;2,2-dimethylbutane;86.11;2.460960113525391;3.9519310913085937;6.0;14.308555908203125;239.3214050292969;train
1;2,3-dimethylpentane;100.125;2.8243367309570315;3.982445739746094;6.0;14.293394775390627;250.66890563964844;train
1;2,4-dimethylpentane;100.125;2.939058654785156;3.90089990234375;6.0;14.265204467773438;244.35744934082032;train
1;3-methylheptane;114.141;3.4337291259765625;3.916612548828125;6.0;14.28820068359375;247.8386474609375;train
1;2-methyl-3-ethyl-pentane;114.141;3.101492919921875;4.020658386230469;6.0;14.228269042968748;256.1587707519531;train
1;2,4-dimethylhexane;114.141;3.268527954101563;3.9363391723632812;6.0;14.255900878906251;248.60172729492186;train
1;2,2,3,4-tetramethylpentane;128.157;2.995873718261719;4.179772827148438;6.0;14.231697387695313;269.42205810546875;train
1;2,2,5-trimethylhexane;128.157;3.5943417968749998;3.94093994140625;6.0;14.318419189453127;249.78716430664062;train
1;2,6-dimethyloctane;142.172;4.032364624023438;3.9410893554687503;6.0;14.194101562500002;252.14837646484375;train
1;2,3-dimethylnonane;156.188;3.7680950927734376;4.1175556640625;6.0;14.146362915039061;266.90220336914064;train
1;3-methyldodecane;184.219;4.8045717773437495;4.078903930664063;6.0;13.92642333984375;268.0989013671875;train
1;2,3-dimethyldodecane;198.235;4.994263427734375;4.085705688476563;6.0;13.951801757812499;269.69794921875;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.11754931640625;4.0952373046875;6.0;13.891768188476563;267.4690307617188;train
1;tetracosane;338.391;9.70296044921875;3.9139443359375;6.0;13.291549072265624;261.26264648437495;train
1;propane;44.063;1.8975808715820313;3.633706298828125;6.0;14.625513916015624;206.62274932861328;train
1;pentane;72.094;2.6211417236328125;3.764258483886719;6.0;14.518663940429688;230.4763488769531;train
1;2,3-dimethylbutane;86.11;2.5267276611328127;3.9426993408203126;6.0;14.359369506835938;241.0286407470703;train
1;3-methylhexane;100.125;3.0584051513671877;3.898480712890625;6.0;14.2724072265625;245.10603637695309;train
1;2,5-dimethylhexane;114.141;3.3820234375;3.8902928466796878;6.0;14.290167236328127;244.78457946777343;train
1;2,2,3-trimethylpentane;114.141;2.84027490234375;4.113657470703125;6.0;14.282520141601562;261.5514343261719;train
1;2,3,3-trimethylpentane;114.141;2.783997985839844;4.147074096679687;6.0;14.28851318359375;263.0306396484375;train
1;4-methylheptane;114.141;3.4483395996093753;3.899205078125;6.0;14.30198974609375;246.31458740234376;train
1;3,3-diethylpentane;128.157;3.0108789672851564;4.181791870117188;6.0;14.170175170898439;269.6255859375;train
1;2,3-dimethylheptane;128.157;3.60530322265625;3.979860595703125;6.0;14.286998291015625;254.18032836914062;train
1;2,7-dimethyloctane;142.172;4.08917578125;3.919413024902344;6.0;14.19439697265625;250.47608032226566;train
1;3-methylundecane;170.203;4.3350461425781255;4.119868286132812;6.0;13.987216186523437;269.4494995117187;train
1;tridecane;184.219;5.37467529296875;3.8843924560546874;6.0;14.013417358398437;254.891357421875;train
1;tetradecane;198.235;5.7482646484375;3.8805216064453125;6.0;13.93791015625;255.819140625;train
1;heptadecane;240.282;7.07810595703125;3.876615966796875;6.0;13.693469848632812;256.484912109375;train
1;heptacosane;380.438;10.8551552734375;3.9012762451171876;6.0;13.275874023437499;261.32091064453124;train
1;n-butane;58.078;2.2099886779785156;3.731212097167969;6.0;14.554725341796875;219.04799957275395;train
1;3-methylpentane;86.11;2.734302734375;3.882951171875;6.0;14.348511962890624;241.0269256591797;train
1;3-ethylpentane;100.125;3.008669372558594;3.9196634521484377;6.0;14.270697631835938;246.98292236328126;train
1;3,3-dimethylpentane;100.125;2.6391199951171878;4.0426162109375;6.0;14.281608886718749;250.95481872558594;train
1;2-methylheptane;114.141;3.4944700927734376;3.8864835815429686;6.0;14.331795654296876;245.39307250976563;train
1;octane;114.141;3.7075350341796875;3.84429736328125;6.0;14.366287231445312;243.26580810546875;train
1;3-ethylhexane;114.141;3.357251220703125;3.9326800537109374;6.0;14.262272949218751;248.98958740234374;train
1;2,3-dimethylhexane;114.141;3.2421417236328125;3.97427734375;6.0;14.278406372070314;252.449267578125;train
1;2-methyloctane;128.157;3.9066956787109373;3.88928173828125;6.0;14.260554199218749;247.47540893554688;train
1;2,2,3,3-tetramethylpentane;128.157;2.9164498901367186;4.238651245117188;6.0;14.228540649414061;272.8932861328125;train
1;3-methyldecane;156.188;3.9421102294921875;4.118703369140625;6.0;14.059364013671875;267.5132263183594;train
1;2,3-dimethyldecane;170.203;4.35210986328125;4.098625610351562;6.0;14.06577392578125;268.17856445312503;train
1;2-methyldodecane;184.219;5.107591552734375;3.9712307739257815;6.0;13.977012939453125;260.47056884765624;train
1;2-methyltridecane;198.235;5.4519277343749994;3.965354248046875;6.0;13.909975585937499;261.41148681640624;train
1;octadecane;254.297;7.44697607421875;3.8875625;6.0;13.609804077148437;257.31739501953126;train
1;octacosane;394.454;11.108515625;3.9011436767578127;6.0;13.2657421875;261.47235107421875;train
1;2-methylpropane;58.078;2.115802536010742;3.739165954589844;6.0;14.489190063476563;217.18313903808593;train
1;hexane;86.11;2.92846142578125;3.799476379394531;6.0;14.394885253906251;236.68095703125002;train
1;2-methylhexane;100.125;3.1432175292968747;3.8593983154296874;6.0;14.310549316406252;241.8842559814453;train
1;2,2-dimethylpentane;100.125;2.7948157958984376;3.95696240234375;6.0;14.279805908203125;246.97542724609374;train
1;3,3-dimethylhexane;114.141;3.0026453857421878;4.046405883789062;6.0;14.212301025390627;257.64300537109375;train
1;2,3,4-trimethyl pentane;114.141;2.966411376953125;4.069603149414062;6.0;14.23609130859375;259.8376708984375;train
1;2,2-dimethylhexane;114.141;3.192052124023437;3.9510968017578127;6.0;14.246793212890625;249.19207153320312;train
1;nonane;128.157;4.126569580078125;3.8512131958007814;6.0;14.255343627929689;245.70574035644532;train
1;2,2,4,4-tetramethylpentane;128.157;3.001505859375;4.125105224609375;6.0;14.184426269531249;263.38587036132816;train
1;2,2,5,5-tetramethylhexane;142.172;3.40058056640625;4.072308959960937;6.0;14.246602172851563;260.03952636718753;train
1;n-undecane;156.188;4.685025146484374;3.887952087402344;6.0;14.124611816406249;251.83616943359377;train
1;2-methylundecane;170.203;4.557898681640625;4.027446044921875;6.0;14.014624023437499;262.4017822265625;train
1;2,3-dimethylundecane;184.219;4.6007707519531245;4.110991577148438;6.0;14.015442504882811;270.31630859374997;train
1;pentadecane;212.25;6.21405224609375;3.867784912109375;6.0;13.851877441406248;255.7928649902344;train
1;nonadecane;268.313;7.87416552734375;3.8937110595703124;6.0;13.520932006835938;257.7138000488281;train
1;squalane;422.485;10.11331298828125;4.044666259765625;6.0;13.020859985351564;269.0850341796875;train
