epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.930128677368164;3.5291783447265628;6.0;23.852020263671875;350.1928955078125;train
1;2,2-dimethylpropane;72.094;2.309661224365234;3.8148252563476563;6.0;24.79869140625;442.01386718749995;train
1;2,2-dimethylbutane;86.11;2.4811358947753908;3.9278173217773436;6.0;25.0545263671875;477.704833984375;train
1;2,3-dimethylpentane;100.125;2.9622223510742187;3.9172587890625;6.0;23.360068359375;478.36044921875;train
1;2,4-dimethylpentane;100.125;3.10189794921875;3.9561712036132812;6.0;23.773607177734377;490.5277099609375;train
1;3-methylheptane;114.141;3.645248046875;3.9246934814453125;6.0;23.795854492187498;488.29580078124997;train
1;2-methyl-3-ethyl-pentane;114.141;3.3740396728515627;3.9845026855468753;6.0;23.74691223144531;504.61926269531256;train
1;2,4-dimethylhexane;114.141;3.317870361328125;3.9030936889648435;6.0;23.377579345703126;479.13017578125;train
1;2,2,3,4-tetramethylpentane;128.157;3.1968198242187498;4.128230834960938;6.0;24.443828735351563;544.5480468750001;train
1;2,2,5-trimethylhexane;128.157;3.6388884277343747;3.931315673828125;6.0;23.775513305664063;490.42250976562497;train
1;2,6-dimethyloctane;142.172;4.291110595703125;3.9202911987304687;6.0;23.92042785644531;495.194384765625;train
1;2,3-dimethylnonane;156.188;4.105119140625;3.995581604003906;6.0;24.113213195800782;516.4564941406251;train
1;3-methyldodecane;184.219;5.123856201171876;3.985659423828125;6.0;24.818733520507813;523.04052734375;train
1;2,3-dimethyldodecane;198.235;5.156424072265625;3.90624951171875;6.0;24.07324279785156;501.8609863281251;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.176020263671875;3.8331314086914063;6.0;22.91321350097656;483.5553466796875;train
1;tetracosane;338.391;9.865732421875;4.009980773925781;6.0;26.83823852539063;524.3257568359376;train
1;propane;44.063;2.0511019859313966;3.6728199462890627;6.0;24.600627136230464;397.6966064453125;train
1;pentane;72.094;2.65346875;3.85858154296875;6.0;23.97799072265625;454.5056640625;train
1;2,3-dimethylbutane;86.11;2.67645556640625;3.913702880859375;6.0;24.100848388671878;473.779296875;train
1;3-methylhexane;100.125;3.1866865234375;3.935400390625;6.0;23.72273498535156;485.50859375000005;train
1;2,5-dimethylhexane;114.141;3.5605684814453125;3.8937942504882814;6.0;23.586764221191405;478.1122070312501;train
1;2,2,3-trimethylpentane;114.141;3.0321417236328125;4.098024291992187;6.0;24.472122802734376;532.598974609375;train
1;2,3,3-trimethylpentane;114.141;3.06587646484375;4.120141967773438;6.0;24.513035278320313;540.029541015625;train
1;4-methylheptane;114.141;3.6414775390625;3.9478970336914063;6.0;23.957073669433594;494.9270751953125;train
1;3,3-diethylpentane;128.157;3.23749169921875;4.108686645507813;6.0;24.694371032714844;537.04677734375;train
1;2,3-dimethylheptane;128.157;3.8618509521484374;3.921387268066406;6.0;23.578021545410156;491.743505859375;train
1;2,7-dimethyloctane;142.172;4.29685400390625;3.962169982910156;6.0;24.276727294921873;506.9597412109375;train
1;3-methylundecane;170.203;4.741646240234375;4.0581953125000005;6.0;25.041697387695308;540.29287109375;train
1;tridecane;184.219;5.669906005859374;3.9004852294921877;6.0;24.925206298828122;501.78937988281245;train
1;tetradecane;198.235;6.02424658203125;3.8645263671875;6.0;25.044583740234376;492.14658203125003;train
1;heptadecane;240.282;7.64698779296875;3.8705343017578127;6.0;26.24035461425781;500.69204101562497;train
1;heptacosane;380.438;9.7668486328125;3.947614990234375;6.0;25.88908142089844;496.48376464843744;train
1;n-butane;58.078;2.2525245361328126;3.7638125610351563;6.0;24.61187377929687;425.99458007812495;train
1;3-methylpentane;86.11;2.899122802734375;3.9513863525390622;6.0;23.897291259765623;486.2720703125;train
1;3-ethylpentane;100.125;2.939498840332031;3.8977894287109374;6.0;23.596484985351562;470.32763671875006;train
1;3,3-dimethylpentane;100.125;2.7907987670898438;4.084358520507813;6.0;25.21664733886719;526.5802734375;train
1;2-methylheptane;114.141;3.531667846679688;3.8394835205078124;6.0;23.304232788085937;461.54201660156247;train
1;octane;114.141;3.817140625;3.951508117675781;6.0;24.297250061035154;496.420849609375;train
1;3-ethylhexane;114.141;3.5443229980468747;3.917450744628906;6.0;23.690947875976562;485.130517578125;train
1;2,3-dimethylhexane;114.141;3.423409423828125;3.92129248046875;6.0;23.42486389160156;486.47109375;train
1;2-methyloctane;128.157;3.9709139404296874;3.9309661865234373;6.0;24.01756011962891;493.612744140625;train
1;2,2,3,3-tetramethylpentane;128.157;3.1133955078125;4.221003295898438;6.0;25.265430908203122;569.5875;train
1;3-methyldecane;156.188;4.34788818359375;4.056548461914063;6.0;24.83314025878906;535.4755615234375;train
1;2,3-dimethyldecane;170.203;4.449187744140625;4.021435241699219;6.0;24.39775146484375;528.148681640625;train
1;2-methyldodecane;184.219;5.226686767578125;3.92296337890625;6.0;24.479137573242188;505.83706054687497;train
1;2-methyltridecane;198.235;5.6047919921875;3.886743408203125;6.0;24.494437866210937;499.06499023437493;train
1;octadecane;254.297;8.02584423828125;3.874764099121094;6.0;26.425628662109375;500.8454833984375;train
1;octacosane;394.454;10.10714208984375;3.988593505859375;6.0;26.15291748046875;509.7311767578125;train
1;2-methylpropane;58.078;2.1786170349121097;3.6980678100585935;6.0;24.271836853027345;406.043310546875;train
1;hexane;86.11;3.019486145019531;3.87851611328125;6.0;23.651445007324217;464.469189453125;train
1;2-methylhexane;100.125;3.163929443359375;3.8066724853515623;6.0;23.000527954101564;447.34953613281243;train
1;2,2-dimethylpentane;100.125;2.9051718749999997;4.014253051757812;6.0;24.4104052734375;504.23266601562506;train
1;3,3-dimethylhexane;114.141;3.302058837890625;4.140988403320312;6.0;24.839349365234376;547.8048095703125;train
1;2,3,4-trimethyl pentane;114.141;3.1797799072265622;4.049124633789063;6.0;24.085572509765623;520.5361328125;train
1;2,2-dimethylhexane;114.141;3.3673597412109375;3.9646419677734377;6.0;23.98690399169922;496.16367187500003;train
1;nonane;128.157;4.111007080078124;3.985622802734375;6.0;24.59260986328125;510.05268554687507;train
1;2,2,4,4-tetramethylpentane;128.157;3.220629150390625;4.127316528320312;6.0;24.765334167480468;542.315185546875;train
1;2,2,5,5-tetramethylhexane;142.172;3.599213623046875;4.065451293945312;6.0;24.604586181640627;528.9216552734375;train
1;n-undecane;156.188;4.794467529296875;3.9753740844726564;6.0;24.875803222656252;514.51376953125;train
1;2-methylundecane;170.203;4.7914970703125;4.009039733886719;6.0;24.772077026367185;526.39794921875;train
1;2,3-dimethylundecane;184.219;4.8704384765625;4.0349345703125;6.0;24.67419158935547;536.8313964843751;train
1;pentadecane;212.25;6.69436669921875;3.9004840087890624;6.0;25.679437255859376;506.82355957031257;train
1;nonadecane;268.313;8.44036865234375;3.9021617431640623;6.0;26.651422729492186;507.4227294921875;train
1;squalane;422.485;10.743609375;4.052379150390625;6.0;27.612258911132812;520.8488525390625;train
