epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.2626397094726562;3.3547701721191405;6.0;22.02110794067383;312.7068359375;train
1;2-methylbutane;72.094;2.423062683105469;3.8284259643554686;6.0;23.45375946044922;444.5306884765625;train
1;2-methylpentane;86.11;2.8987570800781253;3.951191711425781;6.0;24.00221405029297;483.4215576171875;train
1;2,2,3-trimethylbutane;100.125;2.605023620605469;3.9565675659179687;6.0;23.779242248535155;477.26984863281245;train
1;heptane;100.125;3.3430926513671873;3.8781654052734376;6.0;24.030260925292968;476.9500732421875;train
1;3,4-dimethylhexane;114.141;3.21230615234375;4.068170654296875;6.0;24.600560607910154;519.122607421875;train
1;3-methyl-3-ethylpentane;114.141;3.012242553710937;4.036408813476562;6.0;24.409757385253904;507.0666748046875;train
1;2,2,4-trimethylpentane;114.141;3.215440185546875;4.0875712890625;6.0;24.603335876464843;522.941162109375;train
1;2,4,4-trimethylhexane;128.157;3.40527294921875;4.098074584960937;6.0;24.673594665527343;529.6174072265625;train
1;2,3,3,4-tetramethylpentane;128.157;3.2044822998046874;4.126246704101563;6.0;24.660125427246093;531.6272705078126;train
1;decane;142.172;4.571825927734375;3.8902456665039065;6.0;24.214610290527343;497.4443115234375;train
1;2-methyldecane;156.188;4.6345107421875;3.9498259277343752;6.0;24.478239440917967;513.4739501953125;train
1;dodecane;170.203;5.294212158203125;3.8538365478515626;6.0;24.00985382080078;494.70976562499993;train
1;3-methyltridecane;198.235;5.4648994140625;3.8911466064453126;6.0;24.15007598876953;505.8070556640625;train
1;hexadecane;226.266;7.06095361328125;3.8849681396484375;6.0;24.553934020996095;497.2953857421874;train
1;eicosane;282.329;8.51551318359375;3.8652763671875;6.0;24.61336273193359;470.9916748046875;train
1;ethane;30.047;1.3034730224609374;3.481328338623047;6.0;22.527414093017576;348.8273559570312;train
1;2,2-dimethylpropane;72.094;2.252049285888672;3.767043701171875;6.0;23.219626159667968;426.95869140624995;train
1;2,2-dimethylbutane;86.11;2.774088806152344;3.92084033203125;6.0;23.809926452636716;473.02614746093747;train
1;2,3-dimethylpentane;100.125;2.964964416503906;4.030008178710937;6.0;24.316941833496095;503.88029785156243;train
1;2,4-dimethylpentane;100.125;3.0424163818359373;3.95794775390625;6.0;24.042019958496095;487.6792724609375;train
1;3-methylheptane;114.141;3.7562247314453128;3.9668632202148437;6.0;24.436986389160154;506.9166259765625;train
1;2-methyl-3-ethyl-pentane;114.141;3.3462803955078124;4.101076782226563;6.0;24.817150573730473;530.1210205078124;train
1;2,4-dimethylhexane;114.141;3.28062158203125;3.950129638671875;6.0;24.036470642089842;490.8914306640625;train
1;2,2,3,4-tetramethylpentane;128.157;3.2578359375;4.181505981445312;6.0;24.931741638183595;546.5193359375;train
1;2,2,5-trimethylhexane;128.157;3.5982552490234374;3.915473388671875;6.0;24.01328155517578;489.2435302734375;train
1;2,6-dimethyloctane;142.172;4.179607421875;3.894152587890625;6.0;24.153164978027345;493.02392578125006;train
1;2,3-dimethylnonane;156.188;4.08484765625;4.042882690429687;6.0;24.82233673095703;532.03701171875;train
1;3-methyldodecane;184.219;5.058143798828125;3.9630689697265624;6.0;24.51887908935547;521.4885009765626;train
1;2,3-dimethyldodecane;198.235;5.171488281249999;3.983687255859375;6.0;24.542937927246093;526.938916015625;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.3698144531250005;4.051793090820313;6.0;25.106929626464844;547.9520019531251;train
1;tetracosane;338.391;9.81974169921875;4.002874877929687;6.0;25.529442138671875;510.06704101562497;train
1;propane;44.063;1.836190628051758;3.671384521484375;6.0;23.091875;400.5434326171875;train
1;pentane;72.094;2.6639674682617187;3.8300667724609374;6.0;23.557374572753904;449.8107421875;train
1;2,3-dimethylbutane;86.11;2.5329647216796873;3.945058837890625;6.0;23.851293029785158;474.1996337890625;train
1;3-methylhexane;100.125;3.1147764892578125;3.985250732421875;6.0;24.24720977783203;496.9591796875;train
1;2,5-dimethylhexane;114.141;3.5566212158203125;3.891379150390625;6.0;23.91812957763672;482.58381347656257;train
1;2,2,3-trimethylpentane;114.141;3.0378759765625;4.077741577148437;6.0;24.448301696777346;516.4397705078125;train
1;2,3,3-trimethylpentane;114.141;3.1794493408203124;4.145192504882813;6.0;24.709742126464846;535.6999267578125;train
