epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.0367649536132812;3.5443726806640625;6.0;20.49282428741455;301.85026245117183;train
1;2-methylbutane;72.094;2.4428317260742185;3.9071681518554686;6.0;26.47105224609375;460.3523681640625;train
1;2-methylpentane;86.11;3.031645751953125;3.9542441406249997;6.0;24.052357177734372;480.32250976562506;train
1;2,2,3-trimethylbutane;100.125;2.7315235595703125;4.0491103515625;6.0;15.705263061523437;501.2246337890625;train
1;heptane;100.125;3.5390537109375;3.8962863159179686;6.0;28.772938232421875;470.49892578124997;train
1;3,4-dimethylhexane;114.141;3.229395263671875;4.023479858398438;6.0;26.225906372070312;504.91567382812497;train
1;3-methyl-3-ethylpentane;114.141;3.1061072998046875;4.069529663085937;6.0;29.4569677734375;519.760791015625;train
1;2,2,4-trimethylpentane;114.141;3.197705322265625;4.047471557617188;6.0;27.05711608886719;512.0349609374999;train
1;2,4,4-trimethylhexane;128.157;3.423256103515625;4.06709619140625;6.0;22.48150726318359;518.657958984375;train
1;2,3,3,4-tetramethylpentane;128.157;3.212631591796875;4.1612092285156255;6.0;26.512418823242186;547.4496826171875;train
1;decane;142.172;4.644031249999999;3.9414179077148437;6.0;22.315161132812502;488.21982421875003;train
1;2-methyldecane;156.188;4.8330141601562495;3.9445562744140625;6.0;26.12168701171875;495.5706298828125;train
1;dodecane;170.203;5.502823974609375;3.900106384277344;6.0;26.186359252929687;487.0274169921875;train
1;3-methyltridecane;198.235;5.5514423828125;4.01085693359375;6.0;25.388358154296874;520.342333984375;train
1;hexadecane;226.266;6.88421337890625;3.9369583740234377;6.0;29.067565307617187;498.89545898437507;train
1;eicosane;282.329;8.7843037109375;3.9464155883789065;6.0;20.07370274066925;472.572705078125;train
1;ethane;30.047;1.5916410217285155;3.6974808349609374;6.0;25.34774597167969;377.97669677734376;train
1;2,2-dimethylpropane;72.094;2.348772430419922;3.9053704833984373;6.0;23.167112426757814;456.73125;train
1;2,2-dimethylbutane;86.11;2.7235663452148438;3.9780241088867188;6.0;25.591774291992188;484.9310058593749;train
1;2,3-dimethylpentane;100.125;3.0414580078125;3.987168701171875;6.0;25.827591552734376;491.4587158203124;train
1;2,4-dimethylpentane;100.125;3.2093828125;3.96338232421875;6.0;22.84258850097656;484.21010742187497;train
1;3-methylheptane;114.141;3.6631263427734373;3.9666441040039064;6.0;25.37317443847656;491.3946044921875;train
1;2-methyl-3-ethyl-pentane;114.141;3.4364899902343753;4.023940673828125;6.0;30.8523046875;509.118701171875;train
1;2,4-dimethylhexane;114.141;3.4362475585937498;3.989780517578125;6.0;17.15548614501953;488.990576171875;train
1;2,2,3,4-tetramethylpentane;128.157;3.242541259765625;4.1444204101562505;6.0;28.770833129882813;543.4985839843749;train
1;2,2,5-trimethylhexane;128.157;3.769916748046875;3.9672950439453123;6.0;18.38994903564453;484.29191894531255;train
1;2,6-dimethyloctane;142.172;4.27062890625;3.9565443115234373;6.0;23.857518920898436;490.98427734375;train
